,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,master_metadata_album_artist_name,master_metadata_album_album_name,genres,artist_popularity
10,0.397,0.172,6,-15.698,0,0.0445,0.841,6.780000000000001e-05,0.108,0.123,101.275,audio_features,4eSGSqP2TZvvX0kadZZttM,spotify:track:4eSGSqP2TZvvX0kadZZttM,https://api.spotify.com/v1/tracks/4eSGSqP2TZvvX0kadZZttM,https://api.spotify.com/v1/audio-analysis/4eSGSqP2TZvvX0kadZZttM,265120,4,Drake,Take Care,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97.0
11,0.5730000000000001,0.901,4,-4.42,1,0.0408,0.03,0.00661,0.171,0.33,118.016,audio_features,64aEa2sELbvysQhFpQFjJm,spotify:track:64aEa2sELbvysQhFpQFjJm,https://api.spotify.com/v1/tracks/64aEa2sELbvysQhFpQFjJm,https://api.spotify.com/v1/audio-analysis/64aEa2sELbvysQhFpQFjJm,359947,4,The Minds Of 99,Infinity Action,"['danish alternative rock', 'danish pop', 'danish post-punk', 'danish rock']",53.0
12,0.425,0.391,1,-18.456,1,0.0383,0.763,0.735,0.106,0.586,73.875,audio_features,3pOdjS5pZsSmYfoTfd7KBi,spotify:track:3pOdjS5pZsSmYfoTfd7KBi,https://api.spotify.com/v1/tracks/3pOdjS5pZsSmYfoTfd7KBi,https://api.spotify.com/v1/audio-analysis/3pOdjS5pZsSmYfoTfd7KBi,211200,4,Twins of June,Breathe On,[],24.0
13,0.6000000000000001,0.23,4,-8.576,1,0.128,0.766,0.0,0.0963,0.285,149.636,audio_features,5qTeqJdxEU1nwpqih1ghPH,spotify:track:5qTeqJdxEU1nwpqih1ghPH,https://api.spotify.com/v1/tracks/5qTeqJdxEU1nwpqih1ghPH,https://api.spotify.com/v1/audio-analysis/5qTeqJdxEU1nwpqih1ghPH,186967,4,Ed Sheeran,Lego House,"['pop', 'uk pop']",90.0
14,0.496,0.102,8,-23.562,0,0.0455,0.989,0.924,0.111,0.357,154.871,audio_features,2keT649m2xIywngAVJHsuC,spotify:track:2keT649m2xIywngAVJHsuC,https://api.spotify.com/v1/tracks/2keT649m2xIywngAVJHsuC,https://api.spotify.com/v1/audio-analysis/2keT649m2xIywngAVJHsuC,249704,4,Zeph,Forever & Always,"['gen z singer-songwriter', 'indie pop']",58.0
15,0.422,0.745,8,-4.632,1,0.0378,0.221,0.0,0.0981,0.588,95.487,audio_features,6cAKeFFYW2aClZSUyvqAEW,spotify:track:6cAKeFFYW2aClZSUyvqAEW,https://api.spotify.com/v1/tracks/6cAKeFFYW2aClZSUyvqAEW,https://api.spotify.com/v1/audio-analysis/6cAKeFFYW2aClZSUyvqAEW,193447,4,Isaiah Firebrace,Isaiah,"['australian pop', 'australian talent show']",48.0
16,0.6960000000000001,0.664,8,-3.271,0,0.11,0.0104,0.0,0.0932,0.8270000000000001,96.826,audio_features,3uSh1HVavcpCFhAUP5Di8c,spotify:track:3uSh1HVavcpCFhAUP5Di8c,https://api.spotify.com/v1/tracks/3uSh1HVavcpCFhAUP5Di8c,https://api.spotify.com/v1/audio-analysis/3uSh1HVavcpCFhAUP5Di8c,140101,4,Josef,Er Det For Sent?,['danish pop'],37.0
17,0.553,0.727,5,-6.905,1,0.0348,0.0254,0.0113,0.107,0.286,173.972,audio_features,7k0wVBW3cvV6Xmb87JikIf,spotify:track:7k0wVBW3cvV6Xmb87JikIf,https://api.spotify.com/v1/tracks/7k0wVBW3cvV6Xmb87JikIf,https://api.spotify.com/v1/audio-analysis/7k0wVBW3cvV6Xmb87JikIf,191376,4,Khalid,Last Call,"['pop', 'pop r&b']",85.0
18,0.639,0.78,10,-4.212,0,0.0354,0.00978,1.73e-05,0.0883,0.507,139.967,audio_features,4wJ0RZoBtC6dg31w6QJ28B,spotify:track:4wJ0RZoBtC6dg31w6QJ28B,https://api.spotify.com/v1/tracks/4wJ0RZoBtC6dg31w6QJ28B,https://api.spotify.com/v1/audio-analysis/4wJ0RZoBtC6dg31w6QJ28B,187146,4,Svea S,Lukker Øjnene,[],30.0
19,0.38,0.339,3,-7.885,1,0.0338,0.6910000000000001,0.0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4,Olivia Rodrigo,SOUR,['pop'],83.0
20,0.676,0.6950000000000001,0,-8.327,1,0.245,0.352,0.0,0.119,0.144,90.268,audio_features,5zpDHEU12zATwLGvozxPw2,spotify:track:5zpDHEU12zATwLGvozxPw2,https://api.spotify.com/v1/tracks/5zpDHEU12zATwLGvozxPw2,https://api.spotify.com/v1/audio-analysis/5zpDHEU12zATwLGvozxPw2,303813,4,Bad Meets Evil,Hell: The Sequel,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",61.0
21,0.634,0.543,1,-13.391,0,0.181,0.525,0.0,0.232,0.467,121.557,audio_features,7MDfN1ldfTMtuXXdVz2Pzc,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,https://api.spotify.com/v1/tracks/7MDfN1ldfTMtuXXdVz2Pzc,https://api.spotify.com/v1/audio-analysis/7MDfN1ldfTMtuXXdVz2Pzc,186440,4,Amy Winehouse,Back To Black,"['british soul', 'neo soul']",74.0
22,0.599,0.8310000000000001,11,-4.188,1,0.0439,0.0603,0.0,0.204,0.624,132.019,audio_features,6VIYEyjNW71NnIGEduf8D8,spotify:track:6VIYEyjNW71NnIGEduf8D8,https://api.spotify.com/v1/tracks/6VIYEyjNW71NnIGEduf8D8,https://api.spotify.com/v1/audio-analysis/6VIYEyjNW71NnIGEduf8D8,211167,4,Tom Grennan,Remind Me,"['dance pop', 'tropical house']",70.0
23,0.765,0.393,6,-9.616,1,0.0311,0.633,0.0,0.142,0.224,121.909,audio_features,2w9nvs1ByWUGkED4M0ug34,spotify:track:2w9nvs1ByWUGkED4M0ug34,https://api.spotify.com/v1/tracks/2w9nvs1ByWUGkED4M0ug34,https://api.spotify.com/v1/audio-analysis/2w9nvs1ByWUGkED4M0ug34,153863,4,Anson Seabra,Unloving You,"['alt z', 'gen z singer-songwriter', 'pop']",68.0
24,0.577,0.523,0,-5.538,0,0.0429,0.491,0.0,0.147,0.29,134.93,audio_features,06u5LrUpbosQlQ1QJFhPpG,spotify:track:06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/tracks/06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/audio-analysis/06u5LrUpbosQlQ1QJFhPpG,231400,4,SZA,Ctrl,"['pop', 'r&b', 'rap']",83.0
25,0.587,0.765,11,-4.411,1,0.0646,0.159,0.0,0.233,0.532,89.936,audio_features,6unpxvrSPh6n1VAj1hMyCG,spotify:track:6unpxvrSPh6n1VAj1hMyCG,https://api.spotify.com/v1/tracks/6unpxvrSPh6n1VAj1hMyCG,https://api.spotify.com/v1/audio-analysis/6unpxvrSPh6n1VAj1hMyCG,188320,4,Anthon Edwards,Ansigt Til Ansigt,[],24.0
26,0.7030000000000001,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,audio_features,6w8ZPYdnGajyfPddTWdthN,spotify:track:6w8ZPYdnGajyfPddTWdthN,https://api.spotify.com/v1/tracks/6w8ZPYdnGajyfPddTWdthN,https://api.spotify.com/v1/audio-analysis/6w8ZPYdnGajyfPddTWdthN,210384,4,Adele,30,"['british soul', 'pop', 'pop soul', 'uk pop']",84.0
27,0.605,0.424,9,-8.012,0,0.0381,0.396,0.0,0.241,0.463,89.88,audio_features,4ZmaxcxpEmzZgsMZPRdLIG,spotify:track:4ZmaxcxpEmzZgsMZPRdLIG,https://api.spotify.com/v1/tracks/4ZmaxcxpEmzZgsMZPRdLIG,https://api.spotify.com/v1/audio-analysis/4ZmaxcxpEmzZgsMZPRdLIG,208188,4,Rasmus Seebach,Verden Ka' Vente,"['classic danish pop', 'danish pop']",59.0
28,0.605,0.206,4,-9.231,1,0.0339,0.91,0.0,0.226,0.452,133.722,audio_features,5gELxS4WlZ6YuRmsTDe4Vp,spotify:track:5gELxS4WlZ6YuRmsTDe4Vp,https://api.spotify.com/v1/tracks/5gELxS4WlZ6YuRmsTDe4Vp,https://api.spotify.com/v1/audio-analysis/5gELxS4WlZ6YuRmsTDe4Vp,199307,4,Nicklas Sahl,God Save The Dream,['danish pop'],44.0
29,0.545,0.545,9,-7.362,1,0.107,0.667,5.480000000000001e-05,0.417,0.549,159.94,audio_features,3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516,3,Frank Ocean,Blonde,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",83.0
30,0.481,0.285,0,-10.848,1,0.0424,0.9,0.0,0.123,0.316,130.029,audio_features,2IjyFRCRn8x1bEquOM3vxg,spotify:track:2IjyFRCRn8x1bEquOM3vxg,https://api.spotify.com/v1/tracks/2IjyFRCRn8x1bEquOM3vxg,https://api.spotify.com/v1/audio-analysis/2IjyFRCRn8x1bEquOM3vxg,210160,4,Justin Bieber,Purpose,"['canadian pop', 'pop']",90.0
31,0.56,0.17,0,-9.317,0,0.0381,0.952,6.75e-06,0.107,0.303,94.956,audio_features,49GpGYGli1xcxovgYf0k4c,spotify:track:49GpGYGli1xcxovgYf0k4c,https://api.spotify.com/v1/tracks/49GpGYGli1xcxovgYf0k4c,https://api.spotify.com/v1/audio-analysis/49GpGYGli1xcxovgYf0k4c,236293,4,Ella Eyre,Feline,"['dance pop', 'post-teen pop', 'tropical house', 'uk pop']",68.0
32,0.483,0.303,4,-10.058,1,0.0429,0.6940000000000001,0.0,0.115,0.139,133.406,audio_features,53QF56cjZA9RTuuMZDrSA6,spotify:track:53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/tracks/53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/audio-analysis/53QF56cjZA9RTuuMZDrSA6,240166,3,Jason Mraz,Love Is a Four Letter Word,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",72.0
33,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695,4,Adele,Easy On Me,"['british soul', 'pop', 'pop soul', 'uk pop']",84.0
34,0.71,0.628,11,-6.661,0,0.0483,0.197,7.63e-06,0.108,0.462,135.99,audio_features,7bgknc0sSmkIWc2am7QDEv,spotify:track:7bgknc0sSmkIWc2am7QDEv,https://api.spotify.com/v1/tracks/7bgknc0sSmkIWc2am7QDEv,https://api.spotify.com/v1/audio-analysis/7bgknc0sSmkIWc2am7QDEv,221159,4,Tobias Rahim,Feberdrømmer Xx Dubai,['danish pop'],62.0
35,0.483,0.506,9,-6.058,1,0.0347,0.394,0.0,0.0946,0.705,87.337,audio_features,3g61xRaqII8q1wlQDzv550,spotify:track:3g61xRaqII8q1wlQDzv550,https://api.spotify.com/v1/tracks/3g61xRaqII8q1wlQDzv550,https://api.spotify.com/v1/audio-analysis/3g61xRaqII8q1wlQDzv550,216612,4,Boyce Avenue,"Cover Sessions, Vol. 4","['acoustic cover', 'neo mellow', 'viral pop']",69.0
36,0.5650000000000001,0.725,1,-5.746,0,0.0415,0.0973,0.0,0.139,0.351,157.852,audio_features,6elhc8qEwG9YVJwC0m8MVX,spotify:track:6elhc8qEwG9YVJwC0m8MVX,https://api.spotify.com/v1/tracks/6elhc8qEwG9YVJwC0m8MVX,https://api.spotify.com/v1/audio-analysis/6elhc8qEwG9YVJwC0m8MVX,144702,4,URO,Skyggen Af Solen,['danish pop'],34.0
37,0.41,0.0485,0,-13.918,1,0.038,0.947,0.0,0.108,0.247,137.97,audio_features,6yIHGmQLJxWAUZ1ZkENemN,spotify:track:6yIHGmQLJxWAUZ1ZkENemN,https://api.spotify.com/v1/tracks/6yIHGmQLJxWAUZ1ZkENemN,https://api.spotify.com/v1/audio-analysis/6yIHGmQLJxWAUZ1ZkENemN,173175,4,Haley Reinhart,Better,['idol'],62.0
38,0.747,0.44,7,-9.452,1,0.035,0.0359,0.00217,0.0796,0.8190000000000001,100.017,audio_features,1cKacVOYBOQy6OcgOJNDjo,spotify:track:1cKacVOYBOQy6OcgOJNDjo,https://api.spotify.com/v1/tracks/1cKacVOYBOQy6OcgOJNDjo,https://api.spotify.com/v1/audio-analysis/1cKacVOYBOQy6OcgOJNDjo,242960,4,Julie,Absolute Christmas - Den Bedste Julemusik,,
39,0.723,0.754,10,-9.376,1,0.0576,0.0491,0.00112,0.393,0.592,97.203,audio_features,5uWLuFDmMs1r44KFfUwWiA,spotify:track:5uWLuFDmMs1r44KFfUwWiA,https://api.spotify.com/v1/tracks/5uWLuFDmMs1r44KFfUwWiA,https://api.spotify.com/v1/audio-analysis/5uWLuFDmMs1r44KFfUwWiA,420720,4,Lord Echo,Melodies,"['electronica', 'indie jazz', 'indie soul', 'nz reggae', 'soul']",48.0
40,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,audio_features,5WNYg3usc6H8N3MBEp4zVk,spotify:track:5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/tracks/5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/audio-analysis/5WNYg3usc6H8N3MBEp4zVk,320720,4,"Tyler, The Creator",Flower Boy,"['hip hop', 'rap']",83.0
41,0.307,0.507,9,-8.666,0,0.0448,0.258,0.0,0.0989,0.288,82.356,audio_features,6RlCAz0D46BfQpp4dzI0wm,spotify:track:6RlCAz0D46BfQpp4dzI0wm,https://api.spotify.com/v1/tracks/6RlCAz0D46BfQpp4dzI0wm,https://api.spotify.com/v1/audio-analysis/6RlCAz0D46BfQpp4dzI0wm,200530,4,James Gillespie,Wants and Worries EP,['uk pop'],53.0
42,0.472,0.153,0,-11.508,1,0.0395,0.793,1.95e-06,0.655,0.0745,104.551,audio_features,3ve2MJbizM0AWWwGuBFb0o,spotify:track:3ve2MJbizM0AWWwGuBFb0o,https://api.spotify.com/v1/tracks/3ve2MJbizM0AWWwGuBFb0o,https://api.spotify.com/v1/audio-analysis/3ve2MJbizM0AWWwGuBFb0o,195426,4,Gavin James,The Book of Love,"['irish pop', 'neo mellow', 'pop']",61.0
43,0.662,0.581,0,-7.776,1,0.0225,0.015,0.372,0.0916,0.359,101.011,audio_features,4BKYPZFi6bqJOrrxOEhzct,spotify:track:4BKYPZFi6bqJOrrxOEhzct,https://api.spotify.com/v1/tracks/4BKYPZFi6bqJOrrxOEhzct,https://api.spotify.com/v1/audio-analysis/4BKYPZFi6bqJOrrxOEhzct,219653,4,Siala,Kingdom Come,[],19.0
44,0.324,0.0379,11,-25.247,1,0.0554,0.987,0.907,0.0756,0.0383,120.169,audio_features,7Jd0MqZq15T4pDWts2G6Yl,spotify:track:7Jd0MqZq15T4pDWts2G6Yl,https://api.spotify.com/v1/tracks/7Jd0MqZq15T4pDWts2G6Yl,https://api.spotify.com/v1/audio-analysis/7Jd0MqZq15T4pDWts2G6Yl,132307,4,Brian Eno,Small Craft On A Milk Sea,"['ambient', 'art rock', 'compositional ambient', 'electronica', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism', 'singer-songwriter']",60.0
45,0.786,0.5640000000000001,6,-4.549,0,0.153,0.205,4.28e-05,0.0888,0.651,100.068,audio_features,4NlZMh26pWn34TQ0luNEmj,spotify:track:4NlZMh26pWn34TQ0luNEmj,https://api.spotify.com/v1/tracks/4NlZMh26pWn34TQ0luNEmj,https://api.spotify.com/v1/audio-analysis/4NlZMh26pWn34TQ0luNEmj,178546,4,Lukas Graham,All Of It All,"['danish pop', 'pop', 'scandipop']",70.0
46,0.731,0.45,6,-8.086,0,0.0443,0.136,0.0009889999999999,0.107,0.0856,105.989,audio_features,31ABtQJdfloNaGz7ZhXaN5,spotify:track:31ABtQJdfloNaGz7ZhXaN5,https://api.spotify.com/v1/tracks/31ABtQJdfloNaGz7ZhXaN5,https://api.spotify.com/v1/audio-analysis/31ABtQJdfloNaGz7ZhXaN5,280131,4,Florence + The Machine,Dance Fever,"['baroque pop', 'pop', 'uk alternative pop']",74.0
47,0.442,0.398,2,-8.467,1,0.0358,0.551,0.0,0.342,0.469,109.363,audio_features,4NdzFKsviXMxchKjzPhnKW,spotify:track:4NdzFKsviXMxchKjzPhnKW,https://api.spotify.com/v1/tracks/4NdzFKsviXMxchKjzPhnKW,https://api.spotify.com/v1/audio-analysis/4NdzFKsviXMxchKjzPhnKW,210360,4,Frank Sinatra,Duets,"['adult standards', 'easy listening', 'lounge']",79.0
48,0.6970000000000001,0.45,8,-8.087,0,0.115,0.246,0.0,0.143,0.174,124.75,audio_features,2AqZCc1oG8D2xuRCmWgvzI,spotify:track:2AqZCc1oG8D2xuRCmWgvzI,https://api.spotify.com/v1/tracks/2AqZCc1oG8D2xuRCmWgvzI,https://api.spotify.com/v1/audio-analysis/2AqZCc1oG8D2xuRCmWgvzI,212495,3,Mercedess,Back to Business,[],25.0
49,0.423,0.407,10,-7.45,1,0.0267,0.312,0.0009609999999999,0.11,0.161,139.048,audio_features,4qefHyLKbyW3yeqk5Jrjey,spotify:track:4qefHyLKbyW3yeqk5Jrjey,https://api.spotify.com/v1/tracks/4qefHyLKbyW3yeqk5Jrjey,https://api.spotify.com/v1/audio-analysis/4qefHyLKbyW3yeqk5Jrjey,285120,3,Christina Perri,Ballads,,
50,0.657,0.6000000000000001,10,-8.501,1,0.0298,0.0295,0.0,0.217,0.494,132.053,audio_features,4LTUBsLeIn8qcopkFwhwK9,spotify:track:4LTUBsLeIn8qcopkFwhwK9,https://api.spotify.com/v1/tracks/4LTUBsLeIn8qcopkFwhwK9,https://api.spotify.com/v1/audio-analysis/4LTUBsLeIn8qcopkFwhwK9,239200,4,Drengene Fra Angora,Drengene fra Angora,"['classic danish pop', 'danish hip hop', 'danish pop']",40.0
51,0.672,0.671,7,-6.71,1,0.0502,0.721,0.000357,0.504,0.519,91.986,audio_features,1OQraOrLJCsV6Nen7IvG6X,spotify:track:1OQraOrLJCsV6Nen7IvG6X,https://api.spotify.com/v1/tracks/1OQraOrLJCsV6Nen7IvG6X,https://api.spotify.com/v1/audio-analysis/1OQraOrLJCsV6Nen7IvG6X,155512,4,Hugo Helmig,LULU Vol. 1,['danish pop'],44.0
52,0.7010000000000001,0.417,6,-7.818,0,0.0329,0.0888,0.0006479999999999,0.375,0.186,95.003,audio_features,6RBAJlxHY9Ulvw2y7yk4aX,spotify:track:6RBAJlxHY9Ulvw2y7yk4aX,https://api.spotify.com/v1/tracks/6RBAJlxHY9Ulvw2y7yk4aX,https://api.spotify.com/v1/audio-analysis/6RBAJlxHY9Ulvw2y7yk4aX,194840,4,Frank Ocean,channel ORANGE,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",83.0
53,0.485,0.484,3,-7.036,1,0.0617,0.62,0.0,0.114,0.282,159.877,audio_features,6Xa2rrTpSLkpx887Y115mO,spotify:track:6Xa2rrTpSLkpx887Y115mO,https://api.spotify.com/v1/tracks/6Xa2rrTpSLkpx887Y115mO,https://api.spotify.com/v1/audio-analysis/6Xa2rrTpSLkpx887Y115mO,183938,3,Abe Parker,Butterflies,['alt z'],57.0
54,0.518,0.411,7,-8.909,1,0.0335,0.896,0.000716,0.112,0.0782,120.06,audio_features,1eA6HGJ1qZXEL7NIFKYrXK,spotify:track:1eA6HGJ1qZXEL7NIFKYrXK,https://api.spotify.com/v1/tracks/1eA6HGJ1qZXEL7NIFKYrXK,https://api.spotify.com/v1/audio-analysis/1eA6HGJ1qZXEL7NIFKYrXK,208000,4,Rence,Baby Blue,[],43.0
55,0.451,0.268,9,-9.832,1,0.0294,0.8310000000000001,6.620000000000001e-05,0.083,0.206,89.513,audio_features,2EjgVZre5ONvZLNw59kEIn,spotify:track:2EjgVZre5ONvZLNw59kEIn,https://api.spotify.com/v1/tracks/2EjgVZre5ONvZLNw59kEIn,https://api.spotify.com/v1/audio-analysis/2EjgVZre5ONvZLNw59kEIn,260533,4,Joesef,Does It Make You Feel Good?,"['indie r&b', 'indie soul', 'uk alternative pop']",58.0
56,0.655,0.5720000000000001,3,-7.666,0,0.0535,0.646,1.81e-06,0.0774,0.403,137.12,audio_features,2zpZkOV7sD9C4Cv0cukoHV,spotify:track:2zpZkOV7sD9C4Cv0cukoHV,https://api.spotify.com/v1/tracks/2zpZkOV7sD9C4Cv0cukoHV,https://api.spotify.com/v1/audio-analysis/2zpZkOV7sD9C4Cv0cukoHV,131825,4,Jessie Murph,Always Been You,"['alt z', 'pop']",68.0
57,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,audio_features,6Kkt27YmFyIFrcX3QXFi2o,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/tracks/6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/audio-analysis/6Kkt27YmFyIFrcX3QXFi2o,171728,4,Lorde,Melodrama,"['art pop', 'metropopolis', 'nz pop', 'pop']",75.0
58,0.63,0.24,4,-8.832,0,0.0346,0.8140000000000001,2.74e-06,0.0922,0.455,164.899,audio_features,1hKIfuhiFgg7LZnYuq627w,spotify:track:1hKIfuhiFgg7LZnYuq627w,https://api.spotify.com/v1/tracks/1hKIfuhiFgg7LZnYuq627w,https://api.spotify.com/v1/audio-analysis/1hKIfuhiFgg7LZnYuq627w,231954,3,Ingeborg Fosse,Love on the Brain,[],11.0
59,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,audio_features,1Ame8XTX6QHY0l0ahqUhgv,spotify:track:1Ame8XTX6QHY0l0ahqUhgv,https://api.spotify.com/v1/tracks/1Ame8XTX6QHY0l0ahqUhgv,https://api.spotify.com/v1/audio-analysis/1Ame8XTX6QHY0l0ahqUhgv,247067,4,Måneskin,THE LONELIEST,"['indie rock italiano', 'italian pop']",79.0
60,0.741,0.6910000000000001,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,audio_features,5Z9KJZvQzH6PFmb8SNkxuk,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/tracks/5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/audio-analysis/5Z9KJZvQzH6PFmb8SNkxuk,212353,4,Lil Nas X,MONTERO,"['lgbtq+ hip hop', 'pop']",81.0
